id_tweet;tweet
1054414772957925376;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054414799537344512;b'#MiVotoLCA es para  el tema #NoEsJusto de @JBALVIN  @CuentaAtrasCMM @CMM_es #novedadesLCA ...'
1054414836468080642;b'hola @jbalvin me gustan tus canciones me prestas 50mil pesos gracias'
1054415356293345280;b'RT @barclayscenter: Panas \xf0\x9f\xa4\x99\n\n@JBALVIN x @Anuel_2bleA \n\n#VibrasTour \xf0\x9f\xa6\x96 https://t.co/MB3MAiPf9F'
1054415453747990531;b'@jbalvin &amp, @djlalito #vibrastour2018 at Pepsi Center \n@djcity djcitylatino #djlife #djcity #djcitylatino\xe2\x80\xa6 https://t.co/WA8WrQ09f4'
1054415466268110850;b'https://t.co/TPQobz2f4N'
1054415646019252224;b'@JBALVIN J Balvin, uno de los artistas m\xc3\xa1s populares de la m\xc3\xbasica latina, lleg\xc3\xb3 con el Vibras Tour Powered by Bucha\xe2\x80\xa6 https://t.co/q2pTfY8fqI'
1054415790605299713;b'#DiarioLaPrensa El reguetonero #JBalvin tuvo un accidente mientras daba uno de sus conciertos como parte de su gira\xe2\x80\xa6 https://t.co/Z4qrCzzc09'
1054416245230133248;b'RT @jowell1: Grande como artista , GIGANTE como persona ! Que el mundo lo sepa @JBALVIN Te mereces todo el exito que est\xc3\xa1s teniendo. Que or\xe2\x80\xa6'
1054416453871509504;b'djlalito : jbalvin &amp, djlalito #vibrastour2018 at Pepsi Center \ndjcity djcitylatino #djlife #djcity #djcitylatino\xe2\x80\xa6 https://t.co/kt5wB4sbkp'
1054416463380074496;b'Eso se llama KARMA por andar promocionando esa m\xc3\xbasica del diablo'
1054416496296935435;b'Saludos @zooradio935 Nos gustar\xc3\xada escuchar el nuevo sencillo de #JBalvin #NoEsJusto Muchas Gracias'
1054416529029242880;b'Saludos @radiolate Nos gustar\xc3\xada escuchar el nuevo sencillo de #JBalvin #NoEsJusto Muchas Gracias'
1054416567331635201;b'Saludos @CocaColaForMeAr Nos gustaria escuchar el nuevo sencillo de #JBalvin #NoEsJusto Muchas gracias!'
1054416597782278144;b'Saludos @la100fm Nos Gustar\xc3\xada escuchar el nuevo sencillo de #JBalvin #NoEsJusto Muchas Gracias'
1054416639196749824;b'RT @LoveDeHate: Wow y\xe2\x80\x99all thank you all for loving my man \xf0\x9f\x98\xa9\xe2\x9d\xa4\xef\xb8\x8f https://t.co/EsvmDrZXqT'
1054417186746298368;b'@NelsonAraujoNV @latinovictoryus @BarackObama @AmericaFerrera @JBALVIN #MexicanoVote #ChicanoVote #MexIndigenaVote\xe2\x80\xa6 https://t.co/h9PVdXXy3R'
1054417328056733697;b'RT @NRJBelgique: Votez pour vos artistes pr\xc3\xa9f\xc3\xa9r\xc3\xa9s dans la cat\xc3\xa9gorie "chanson internationale de l\'ann\xc3\xa9e". Rendez-vous sur https://t.co/2d0zM\xe2\x80\xa6'
1054417923719213057;b'IM MEETING @JBALVIN IN 4 DAYS LWNLD@LE\xc3\x91'
1054418086915424256;b'Happy Monday !!!!\n\xf0\x9f\x8e\xbc\xf0\x9f\x8e\xbc\xf0\x9f\x8e\xbc\xf0\x9f\x8e\xbc\xf0\x9f\x8e\xbc\nDjs dm me for free remixes .\n\n#yankeedj #getthestrap #life #nyc #newyork #newyorkcity\xe2\x80\xa6 https://t.co/wPvH9bjHQ1'
1054418395708440577;b'RT @Anuel_2bleA: \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96 https://t.co/bBZP5cK60x'
1054418419561492481;b'@melzirene Esta encuesta da es rabia\xf0\x9f\xa4\xa3 Jbalvin 1000%\xf0\x9f\xa4\xa9\xe2\x9a\xa1\xef\xb8\x8f'
1054418659735674883;b'RT @LucasOrozcoF: Amigos Mocca sin Jbalvin suena mejor sorry'
1054418665033121795;b'@camiIasbadthing @JBALVIN idc that\xe2\x80\x99s my mans'
1054418748503932928;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054418772646227968;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
